date,year,month,month_name,region_label,station_name,station_id,latitude,longitude,elevation_m,monthly_rainfall_mm
1890-05-01,1890,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,30.2
1890-06-01,1890,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,53.7
1890-07-01,1890,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,103.4
1890-08-01,1890,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,42.1
1890-09-01,1890,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,28.1
1890-10-01,1890,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,47.8
1890-11-01,1890,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,52.9
1890-12-01,1890,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.5
1891-01-01,1891,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.6
1891-02-01,1891,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,7.6
1891-03-01,1891,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.2
1891-04-01,1891,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.0
1891-05-01,1891,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.4
1891-06-01,1891,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,10.7
1891-07-01,1891,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.1
1891-08-01,1891,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,22.4
1891-09-01,1891,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,22.6
1891-10-01,1891,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,47.3
1891-11-01,1891,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,29.0
1891-12-01,1891,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,15.7
1892-01-01,1892,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,16.8
1892-02-01,1892,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.0
1892-03-01,1892,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,5.6
1892-04-01,1892,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,23.3
1892-05-01,1892,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.3
1892-06-01,1892,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,24.0
1892-07-01,1892,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,46.9
1892-08-01,1892,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,23.3
1892-09-01,1892,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,38.3
1892-10-01,1892,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,84.2
1892-11-01,1892,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.6
1892-12-01,1892,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.4
1893-01-01,1893,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,5.0
1893-02-01,1893,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1893-03-01,1893,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,12.0
1893-04-01,1893,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,68.3
1893-05-01,1893,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,113.4
1893-06-01,1893,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,49.7
1893-07-01,1893,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,23.1
1893-08-01,1893,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,23.9
1893-09-01,1893,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,93.0
1893-10-01,1893,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,35.8
1893-11-01,1893,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,41.6
1893-12-01,1893,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,15.0
1894-01-01,1894,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,5.6
1894-02-01,1894,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,4.9
1894-03-01,1894,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,109.0
1894-04-01,1894,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,43.1
1894-05-01,1894,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,24.0
1894-06-01,1894,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,38.8
1894-07-01,1894,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,34.7
1894-08-01,1894,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,58.8
1894-09-01,1894,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.4
1894-10-01,1894,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,62.6
1894-11-01,1894,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1894-12-01,1894,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,61.2
1895-01-01,1895,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,22.4
1895-02-01,1895,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.1
1895-03-01,1895,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,50.8
1895-04-01,1895,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,50.4
1895-05-01,1895,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,7.9
1895-06-01,1895,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,24.2
1895-07-01,1895,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,73.1
1895-08-01,1895,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,45.5
1895-09-01,1895,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.8
1895-10-01,1895,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.7
1895-11-01,1895,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.3
1895-12-01,1895,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,14.3
1896-01-01,1896,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.3
1896-02-01,1896,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.9
1896-03-01,1896,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.0
1896-04-01,1896,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.6
1896-05-01,1896,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,27.8
1896-06-01,1896,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,59.2
1896-07-01,1896,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,26.7
1896-08-01,1896,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.2
1896-09-01,1896,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,25.5
1896-10-01,1896,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,10.9
1896-11-01,1896,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,14.8
1896-12-01,1896,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,31.0
1897-01-01,1897,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,5.4
1897-02-01,1897,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,24.1
1897-03-01,1897,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,16.8
1897-04-01,1897,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,9.2
1897-05-01,1897,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,34.0
1897-06-01,1897,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,49.9
1897-07-01,1897,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.8
1897-08-01,1897,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,75.6
1897-09-01,1897,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,40.0
1897-10-01,1897,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.6
1897-11-01,1897,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.2
1897-12-01,1897,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.3
1898-01-01,1898,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.3
1898-02-01,1898,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,17.8
1898-03-01,1898,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.5
1898-04-01,1898,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,59.6
1898-05-01,1898,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,39.0
1898-06-01,1898,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,79.8
1898-07-01,1898,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,39.7
1898-08-01,1898,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.6
1898-09-01,1898,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.1
1898-10-01,1898,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,26.7
1898-11-01,1898,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.4
1898-12-01,1898,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.8
1899-01-01,1899,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.7
1899-02-01,1899,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.3
1899-03-01,1899,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,29.7
1899-04-01,1899,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,25.2
1899-05-01,1899,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,33.5
1899-06-01,1899,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,65.9
1899-07-01,1899,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,13.5
1899-08-01,1899,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,28.7
1899-09-01,1899,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,63.1
1899-10-01,1899,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,20.1
1899-11-01,1899,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,31.3
1899-12-01,1899,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,7.4
1900-01-01,1900,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,9.0
1900-02-01,1900,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.8
1900-03-01,1900,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,40.8
1900-04-01,1900,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,42.6
1900-05-01,1900,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,49.8
1900-06-01,1900,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,39.1
1900-07-01,1900,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,12.5
1900-08-01,1900,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,56.7
1900-09-01,1900,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,56.9
1900-10-01,1900,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,17.2
1900-11-01,1900,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.6
1900-12-01,1900,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.8
1901-01-01,1901,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,40.4
1901-02-01,1901,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,1.3
1901-03-01,1901,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.5
